EMAP ID	EMAP TERM NAME	EMAPA ID	EMAPA TERM NAME
EMAP:1	TS01 first polar body	EMAPA:16032	first polar body
EMAP:2	TS01 one-cell stage embryo	EMAPA:16033	one-cell stage embryo
EMAP:3	TS01 second polar body	EMAPA:16034	second polar body
EMAP:4	TS01 zona pellucida	EMAPA:16035	zona pellucida
EMAP:5	TS02 second polar body	EMAPA:16034	second polar body
EMAP:6	TS02 two-cell stage embryo	EMAPA:16036	two-cell stage embryo
EMAP:7	TS02 zona pellucida	EMAPA:16035	zona pellucida
EMAP:8	TS03 4-8 cell stage embryo	EMAPA:16037	4-8 cell stage embryo
EMAP:9	TS03 compacted morula	EMAPA:16040	compacted morula
EMAP:10	TS03 second polar body	EMAPA:16034	second polar body
EMAP:11	TS03 zona pellucida	EMAPA:16035	zona pellucida
EMAP:12	TS04 embryo	EMAPA:16039	embryo
EMAP:13	TS04 compacted morula	EMAPA:16040	compacted morula
EMAP:14	TS04 inner cell mass	EMAPA:16041	inner cell mass
EMAP:15	TS04 extraembryonic component	EMAPA:16042	extraembryonic component
EMAP:16	TS04 extraembryonic cavities and their linings	EMAPA:16043	extraembryonic cavities and their linings
EMAP:17	TS04 blastocoelic cavity	EMAPA:16044	blastocoelic cavity
EMAP:18	TS04 second polar body	EMAPA:16045	second polar body
EMAP:19	TS04 trophectoderm	EMAPA:16046	trophectoderm
EMAP:20	TS04 mural trophectoderm	EMAPA:16047	mural trophectoderm
EMAP:21	TS04 polar trophectoderm	EMAPA:16048	polar trophectoderm
EMAP:22	TS04 zona pellucida	EMAPA:16049	zona pellucida
EMAP:23	TS05 embryo	EMAPA:16039	embryo
EMAP:24	TS05 inner cell mass	EMAPA:16041	inner cell mass
EMAP:25	TS05 extraembryonic component	EMAPA:16042	extraembryonic component
EMAP:26	TS05 extraembryonic cavities and their linings	EMAPA:16043	extraembryonic cavities and their linings
EMAP:27	TS05 blastocoelic cavity	EMAPA:16044	blastocoelic cavity
EMAP:28	TS05 trophectoderm	EMAPA:16046	trophectoderm
EMAP:29	TS05 mural trophectoderm	EMAPA:16047	mural trophectoderm
EMAP:30	TS05 polar trophectoderm	EMAPA:16048	polar trophectoderm
EMAP:31	TS06 embryo	EMAPA:16039	embryo
EMAP:32	TS06 epiblast	EMAPA:16050	epiblast
EMAP:33	TS06 primitive endoderm	EMAPA:16051	primitive endoderm
EMAP:34	TS06 extraembryonic component	EMAPA:16042	extraembryonic component
EMAP:35	TS06 extraembryonic cavities and their linings	EMAPA:16043	extraembryonic cavities and their linings
EMAP:36	TS06 blastocoelic cavity	EMAPA:16044	blastocoelic cavity
EMAP:37	TS06 extraembryonic endoderm	EMAPA:16052	extraembryonic endoderm
EMAP:38	TS06 parietal endoderm	EMAPA:16053	parietal endoderm
EMAP:39	TS06 trophectoderm	EMAPA:16046	trophectoderm
EMAP:40	TS06 mural trophectoderm	EMAPA:16047	mural trophectoderm
EMAP:41	TS06 polar trophectoderm	EMAPA:16048	polar trophectoderm
