term,curie,acc,name,description,is_obsolete,replacement,replacement_acc
http://purl.obolibrary.org/obo/ECO_0007637,ECO:0007637,ECO:0007637,curator inference from encyclopedia,A type of curator inference from published work where the reference is to an entry in a compendium that provides summarized information on a subject.,,,
http://purl.obolibrary.org/obo/ECO_0006059,ECO:0006059,ECO:0006059,high throughput cell biology evidence used in manual assertion,A type of high throughput evidence used in a manual assertion where a classical cell biology technique is automated with equipment to allow for assaying biomolecules in parallel.,,,
http://purl.obolibrary.org/obo/ECO_0001145,ECO:0001145,ECO:0001145,alamarBlue assay evidence used in manual assertion,A type of alamarBlue assay evidence that is used in a manual assertion.,,,
http://purl.obolibrary.org/obo/ECO_0007006,ECO:0007006,ECO:0007006,high throughput expression pattern evidence,A type of high throughput evidence derived from the high throughput characterization of gene expression.,,,
http://purl.obolibrary.org/obo/ECO_0007266,ECO:0007266,ECO:0007266,silent mutation evidence used in automatic assertion,A type of silent mutation evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0000063,ECO:0000063,ECO:0000063,compositional similarity evidence,A type of phenotypic similarity evidence based on the similarity of the histological makeup of structures.,,,
http://purl.obolibrary.org/obo/ECO_0007502,ECO:0007502,ECO:0007502,chromatin immunoprecipitation-PCR evidence used in automatic assertion,A type of chromatin immunoprecipitation-PCR evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0007762,ECO:0007762,ECO:0007762,curator inference from Oxford Dictionary used in manual assertion,A type of curator inference from Oxford Dictionary that is used in a manual assertion.,,,
http://purl.obolibrary.org/obo/ECO_0001108,ECO:0001108,ECO:0001108,phage display evidence,A type of protein binding evidence resulting from the panning of a phage library where the individual phage displayed a different peptide or protein by fusion to coat proteins on the capsid.,,,
http://purl.obolibrary.org/obo/ECO_0001010,ECO:0001010,ECO:0001010,anion-exchange chromatography evidence,A type of chromatography evidence where a positively charged ion exchange resin with an affinity for molecules having net negative surface charges is used to separate the molecules.,,,
http://purl.obolibrary.org/obo/ECO_0001270,ECO:0001270,ECO:0001270,restriction landmark genomic scanning evidence used in manual assertion,A type of restriction landmark genome scanning evidence that is used in a manual assertion.,,,
http://purl.obolibrary.org/obo/ECO_0007229,ECO:0007229,ECO:0007229,Illumina sequencing evidence used in automatic assertion,A type of Illumina sequencing evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0007489,ECO:0007489,ECO:0007489,high throughput mass spectrometry evidence used in automatic assertion,A type of high throughput mass spectrometry evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0000026,ECO:0000026,ECO:0000026,nucleic acid hybridization evidence,"A type of experimental genomic evidence resulting from a process in which single stranded nucleic acids are allowed to interact so that complexes, or hybrids, are formed by molecules with sufficiently similar, complementary sequences.",true,,
http://purl.obolibrary.org/obo/ECO_0007131,ECO:0007131,ECO:0007131,5C evidence used in manual assertion,A type of 5C evidence that is used in a manual assertion.,,,
http://purl.obolibrary.org/obo/ECO_0007391,ECO:0007391,ECO:0007391,immunodepletion evidence used in automatic assertion,A type of immunodepletion evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0007725,ECO:0007725,ECO:0007725,protein localization evidence used in manual assertion,A type of protein localization evidence that is used in a manual assertion.,,,
http://purl.obolibrary.org/obo/ECO_0005575,ECO:0005575,ECO:0005575,reconstituted bilayer single-channel patch recording evidence,A type of patch-clamp reocrding evidence that involves ion channel analysis by incorporating the ion channels into liposomes suitable for patch-clamping which allows isolation and study of a specific population of channels into that bilayer membrane.,,,
http://purl.obolibrary.org/obo/ECO_0001233,ECO:0001233,ECO:0001233,motility wound healing assay evidence used in manual assertion,A type of motility wound healing assay evidence that is used in a manual assertion.,,,
http://purl.obolibrary.org/obo/ECO_0001827,ECO:0001827,ECO:0001827,methylation interference footprinting evidence,"A type of nucleic acid binding evidence used to identify protein binding sites on the DNA molecule where multiple copies of a DNA fragment containing a putative TF-binding site are randomly methylated with dimethyl sulfate (DMS) and cleaved at the methyl group, followed by separating the cleavage products on a denaturing electrophoresis gel.",,,
http://purl.obolibrary.org/obo/ECO_0000249,ECO:0000249,ECO:0000249,sequence similarity evidence used in automatic assertion,A type of sequence similarity evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0007354,ECO:0007354,ECO:0007354,nucleotide analog incorporation assay evidence used in automatic assertion,A type of nucleotide analog incorporation assay evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0007850,ECO:0007850,ECO:0007850,inference of sequence features from visual inspection,A type of inferential evidence in which sequence features are inferred based on visual inspection of the sequence.,,,
http://purl.obolibrary.org/obo/ECO_0005538,ECO:0005538,ECO:0005538,computationally derived logical inference,,true,,
http://purl.obolibrary.org/obo/ECO_0006012,ECO:0006012,ECO:0006012,patch-clamp recording evidence,A type of electrophysiology assay evidence in which a glass micropipette is sealed to the surface of a cell membrane (patch) to study ion channels.,,,
http://purl.obolibrary.org/obo/ECO_0007317,ECO:0007317,ECO:0007317,spatial pattern of transcript expression evidence used in automatic assertion,A type of spatial pattern of transcript expression evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0007577,ECO:0007577,ECO:0007577,protein-binding microarray evidence used in automatic assertion,A type of protein-binding microarray evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0000114,ECO:0000114,ECO:0000114,expression library screen evidence,A type of protein expression evidence where a protein of interest is isolated on the basis of its hybridization to an antibody raised to a homologous protein.,,,
http://purl.obolibrary.org/obo/ECO_0007813,ECO:0007813,ECO:0007813,nucleotide sequencing assay evidence used in automatic assertion,A type of nucleotide sequencing assay evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0001085,ECO:0001085,ECO:0001085,in vivo protein kinase assay evidence,A type of protein kinase assay evidence used in an in vivo experiment.,,,
http://purl.obolibrary.org/obo/ECO_0005663,ECO:0005663,ECO:0005663,regular expression motif search evidence used in automatic assertion,A type of regular expression motif search evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0001581,ECO:0001581,ECO:0001581,liquid chromatography coupled with tandem mass spectrometry evidence used in automatic assertion,A type of liquid chromatography coupled with tandem mass spectrometry evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0000337,ECO:0000337,ECO:0000337,gel electrophoresis evidence,A type of direct assay evidence where molecules have been sorted according to their size and charge by moving through a gel in the presence of an electric field.,,,
http://purl.obolibrary.org/obo/ECO_0007442,ECO:0007442,ECO:0007442,nuclear fragmentation evidence used in automatic assertion,A type of nuclear fragmentation evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0001048,ECO:0001048,ECO:0001048,fluorescence resonance energy transfer evidence,"A type of physical interaction evidence resulting from the measurement of the proximity of two fluorophores, where the energy from an excited molecular fluorophore to another fluorophore can only occur within ~10nm.",,,
http://purl.obolibrary.org/obo/ECO_0005626,ECO:0005626,ECO:0005626,copper-phenanthroline footprinting evidence used in manual assertion,A type of copper-phenanthroline footprinting evidence that is used in a manual assertion.,,,
http://purl.obolibrary.org/obo/ECO_0006100,ECO:0006100,ECO:0006100,recessive mutant phenotype evidence,"A type of mutant phenotype evidence based on the analysis of a mutation which, in diploid organisms, must be present in both alleles for a phenotype to manifest itself.",,,
http://purl.obolibrary.org/obo/ECO_0007169,ECO:0007169,ECO:0007169,in-gel protein kinase assay evidence used in manual assertion,A type of in-gel protein kinase assay evidence that is used in a manual assertion.,,,
http://purl.obolibrary.org/obo/ECO_0007071,ECO:0007071,ECO:0007071,flow cell biofilm assay evidence,A type of biofilm formation assay evidence derived from in vitro cultivation and evaluation of bacterial biofilms under hydrodynamic conditions of flow.,,,
http://purl.obolibrary.org/obo/ECO_0007405,ECO:0007405,ECO:0007405,in vitro protein kinase assay evidence used in automatic assertion,A type of in vitro protein kinase assay evidence that is used in an automatic assertion.,,,
http://purl.obolibrary.org/obo/ECO_0007665,ECO:0007665,ECO:0007665,automatically integrated combinatorial computational and experimental evidence,A type of automatically integrated combinatorial evidence in which at least one line of experimental evidence and at least one line of computational evidence have been integrated automatically.,,,
http://purl.obolibrary.org/obo/ECO_0000202,ECO:0000202,ECO:0000202,match to sequence model evidence,A type of sequence similarity evidence in which the function of a gene product is predicted based on a sequence-based statistical model.,,,
http://purl.obolibrary.org/obo/ECO_0006087,ECO:0006087,ECO:0006087,Northwestern blot evidence used in manual assertion,"A type of nucleic acid binding evidence that is used in a manual assertion in which RNA-protein binding is detected using labeled RNA as probes, hybridized to electrophoretically separated proteins.",,,
http://purl.obolibrary.org/obo/ECO_0001173,ECO:0001173,ECO:0001173,cytochrome C release assay evidence used in manual assertion,A type of cytochrome C release assay evidence that is used in a manual assertion.,,,
http://purl.obolibrary.org/obo/ECO_0007034,ECO:0007034,ECO:0007034,neutralization test assay evidence used in manual assertion,A type of neutralization test assay evidence that is used in a manual assertion.,,,
http://purl.obolibrary.org/obo/ECO_0007294,ECO:0007294,ECO:0007294,inference from phenotype manipulation evidence used in automatic assertion,A type of inference from phenotype manipulation evidence that is used in an automatic assertion.,true,,
http://purl.obolibrary.org/obo/ECO_0007628,ECO:0007628,ECO:0007628,zone of inhibition evidence used in automatic assertion,A type of zone of inhibition evidence that is used in an automatic assertion.,,,
