term,curie,acc,name,description,is_obsolete,replacement,replacement_acc
http://purl.obolibrary.org/obo/EMAP_5065,EMAP:5065,EMAP:5065,TS21 midbrain floor plate,,,,
http://purl.obolibrary.org/obo/EMAP_5241,EMAP:5241,EMAP:5241,TS21 nasal cavity,,,,
http://purl.obolibrary.org/obo/EMAP_34073,EMAP:34073,EMAP:34073,TS18 respiratory system epithelium,,,,
http://purl.obolibrary.org/obo/EMAP_34161,EMAP:34161,EMAP:34161,TS18 myotome,,,,
http://purl.obolibrary.org/obo/EMAP_33119,EMAP:33119,EMAP:33119,TS20 forelimb interdigital region epithelium,,,,
http://purl.obolibrary.org/obo/EMAP_33207,EMAP:33207,EMAP:33207,TS26 vertebral cartilage condensation,,,,
http://purl.obolibrary.org/obo/EMAP_6070,EMAP:6070,EMAP:6070,TS22 diencephalon roof plate,,,,
http://purl.obolibrary.org/obo/EMAP_15149,EMAP:15149,EMAP:15149,TS26 T12 ventral root,,,,
http://purl.obolibrary.org/obo/EMAP_7749,EMAP:7749,EMAP:7749,TS23 otic capsule,,,,
http://purl.obolibrary.org/obo/EMAP_7837,EMAP:7837,EMAP:7837,TS23 primary choana,,,,
http://purl.obolibrary.org/obo/EMAP_7925,EMAP:7925,EMAP:7925,TS23 right atrium auricular region endocardial lining,,,,
http://purl.obolibrary.org/obo/EMAP_5028,EMAP:5028,EMAP:5028,TS21 medulla oblongata alar plate marginal layer,,,,
http://purl.obolibrary.org/obo/EMAP_5116,EMAP:5116,EMAP:5116,TS21 peripheral nervous system,,,,
http://purl.obolibrary.org/obo/EMAP_64,EMAP:64,EMAP:64,TS08 extraembryonic component cavities,,,,
http://purl.obolibrary.org/obo/EMAP_5204,EMAP:5204,EMAP:5204,TS21 cornea epithelium,,,,
http://purl.obolibrary.org/obo/EMAP_34036,EMAP:34036,EMAP:34036,TS24 peripheral nervous system ganglion,,,,
http://purl.obolibrary.org/obo/EMAP_34124,EMAP:34124,EMAP:34124,TS26 small intestine,,,,
http://purl.obolibrary.org/obo/EMAP_34212,EMAP:34212,EMAP:34212,TS22 medulla oblongata ventricular layer,,,,
http://purl.obolibrary.org/obo/EMAP_8578,EMAP:8578,EMAP:8578,TS24 interdigital region between forelimb digits 4 and 5,,,,
http://purl.obolibrary.org/obo/EMAP_34300,EMAP:34300,EMAP:34300,TS26 lower jaw tooth dental papilla,,,,
http://purl.obolibrary.org/obo/EMAP_8666,EMAP:8666,EMAP:8666,TS24 hip dermis,,,,
http://purl.obolibrary.org/obo/EMAP_8754,EMAP:8754,EMAP:8754,TS24 testicular artery,,,,
http://purl.obolibrary.org/obo/EMAP_8842,EMAP:8842,EMAP:8842,TS24 hemiazygos vein,,,,
http://purl.obolibrary.org/obo/EMAP_8930,EMAP:8930,EMAP:8930,TS24 diencephalon lateral wall mantle layer,,,,
http://purl.obolibrary.org/obo/EMAP_10781,EMAP:10781,EMAP:10781,TS25 jejunum mesentery,,,,
http://purl.obolibrary.org/obo/EMAP_6033,EMAP:6033,EMAP:6033,TS22 thyroid gland isthmus,,,,
http://purl.obolibrary.org/obo/EMAP_6121,EMAP:6121,EMAP:6121,TS22 hindbrain arachnoid mater,,,,
http://purl.obolibrary.org/obo/EMAP_9495,EMAP:9495,EMAP:9495,TS24 lower jaw gum epithelium,,,,
http://purl.obolibrary.org/obo/EMAP_27,EMAP:27,EMAP:27,TS05 blastocoelic cavity,,,,
http://purl.obolibrary.org/obo/EMAP_9671,EMAP:9671,EMAP:9671,TS24 axial skeleton lumbar region,,,,
http://purl.obolibrary.org/obo/EMAP_8629,EMAP:8629,EMAP:8629,TS24 hindlimb digit 5 dermis,,,,
http://purl.obolibrary.org/obo/EMAP_8717,EMAP:8717,EMAP:8717,TS24 bronchial artery,,,,
http://purl.obolibrary.org/obo/EMAP_10568,EMAP:10568,EMAP:10568,TS25 stapedius muscle,,,,
http://purl.obolibrary.org/obo/EMAP_8805,EMAP:8805,EMAP:8805,TS24 heart ventricle,,,,
http://purl.obolibrary.org/obo/EMAP_10656,EMAP:10656,EMAP:10656,TS25 pancreas body parenchyma,,,,
http://purl.obolibrary.org/obo/EMAP_10744,EMAP:10744,EMAP:10744,TS25 stomach glandular region lumen,,,,
http://purl.obolibrary.org/obo/EMAP_35004,EMAP:35004,EMAP:35004,TS19 midgut epithelium,,,,
http://purl.obolibrary.org/obo/EMAP_25789,EMAP:25789,EMAP:25789,TS24 mouse,,,,
http://purl.obolibrary.org/obo/EMAP_10479,EMAP:10479,EMAP:10479,TS25 hypogastric plexus,,,,
http://purl.obolibrary.org/obo/EMAP_9458,EMAP:9458,EMAP:9458,TS24 maxilla,,,,
http://purl.obolibrary.org/obo/EMAP_25965,EMAP:25965,EMAP:25965,TS24 ascending aorta,,,,
http://purl.obolibrary.org/obo/EMAP_9546,EMAP:9546,EMAP:9546,TS24 renal cortex,,,,
http://purl.obolibrary.org/obo/EMAP_11397,EMAP:11397,EMAP:11397,TS26 knee epidermis,,,,
http://purl.obolibrary.org/obo/EMAP_9634,EMAP:9634,EMAP:9634,TS24 right lung cranial lobe lobar bronchus vascular element,,,,
http://purl.obolibrary.org/obo/EMAP_11485,EMAP:11485,EMAP:11485,TS26 aortic sinus,,,,
http://purl.obolibrary.org/obo/EMAP_3997,EMAP:3997,EMAP:3997,TS20 pericardio-peritoneal canal parietal mesothelium,,,,
http://purl.obolibrary.org/obo/EMAP_9722,EMAP:9722,EMAP:9722,TS24 xiphisternum,,,,
http://purl.obolibrary.org/obo/EMAP_11573,EMAP:11573,EMAP:11573,TS26 inferior mesenteric vein,,,,
http://purl.obolibrary.org/obo/EMAP_26971,EMAP:26971,EMAP:26971,TS25 pharynx muscularis,,,,
http://purl.obolibrary.org/obo/EMAP_11661,EMAP:11661,EMAP:11661,TS26 thalamus marginal layer,,,,
http://purl.obolibrary.org/obo/EMAP_1188,EMAP:1188,EMAP:1188,TS15 somite 30,,,,
http://purl.obolibrary.org/obo/EMAP_1276,EMAP:1276,EMAP:1276,TS15 sensory organ,,,,
http://purl.obolibrary.org/obo/EMAP_7001,EMAP:7001,EMAP:7001,TS17 hindgut diverticulum postanal component lumen,,,,
http://purl.obolibrary.org/obo/EMAP_1364,EMAP:1364,EMAP:1364,TS15 foregut,,,,
http://purl.obolibrary.org/obo/EMAP_1452,EMAP:1452,EMAP:1452,TS15 tail neural tube,,,,
http://purl.obolibrary.org/obo/EMAP_1540,EMAP:1540,EMAP:1540,TS16 peritoneal component parietal mesothelium,,,,
http://purl.obolibrary.org/obo/EMAP_10619,EMAP:10619,EMAP:10619,TS25 nasal meatus,,,,
http://purl.obolibrary.org/obo/EMAP_10707,EMAP:10707,EMAP:10707,TS25 oesophagus lumen,,,,
http://purl.obolibrary.org/obo/EMAP_2193,EMAP:2193,EMAP:2193,TS17 somite 25,,,,
http://purl.obolibrary.org/obo/EMAP_9509,EMAP:9509,EMAP:9509,TS24 liver,,,,
http://purl.obolibrary.org/obo/EMAP_2281,EMAP:2281,EMAP:2281,TS17 rhombomere 04 floor plate,,,,
http://purl.obolibrary.org/obo/EMAP_26758,EMAP:26758,EMAP:26758,TS26 sinus hair bulb,,,,
http://purl.obolibrary.org/obo/EMAP_11448,EMAP:11448,EMAP:11448,TS26 iliac artery,,,,
http://purl.obolibrary.org/obo/EMAP_11536,EMAP:11536,EMAP:11536,TS26 right ventricle cardiac muscle,,,,
http://purl.obolibrary.org/obo/EMAP_11624,EMAP:11624,EMAP:11624,TS26 adenohypophysis,,,,
http://purl.obolibrary.org/obo/EMAP_11712,EMAP:11712,EMAP:11712,TS26 medulla oblongata alar plate marginal layer,,,,
http://purl.obolibrary.org/obo/EMAP_32968,EMAP:32968,EMAP:32968,TS25 interdigital region skin,,,,
http://purl.obolibrary.org/obo/EMAP_11800,EMAP:11800,EMAP:11800,TS26 optic II nerve,,,,
http://purl.obolibrary.org/obo/EMAP_1239,EMAP:1239,EMAP:1239,TS15 rhombomere 04 lateral wall,,,,
http://purl.obolibrary.org/obo/EMAP_1327,EMAP:1327,EMAP:1327,TS15 bulbus cordis caudal half cardiac jelly,,,,
http://purl.obolibrary.org/obo/EMAP_14998,EMAP:14998,EMAP:14998,TS26 tail nerve,,,,
http://purl.obolibrary.org/obo/EMAP_1415,EMAP:1415,EMAP:1415,TS15 pituitary,,,,
http://purl.obolibrary.org/obo/EMAP_1207,EMAP:1207,EMAP:1207,TS15 pituitary,,,,
http://purl.obolibrary.org/obo/EMAP_1503,EMAP:1503,EMAP:1503,TS16 3rd branchial membrane endoderm,,,,
http://purl.obolibrary.org/obo/EMAP_12277,EMAP:12277,EMAP:12277,TS26 female reproductive system,,,,
http://purl.obolibrary.org/obo/EMAP_4789,EMAP:4789,EMAP:4789,TS21 upper arm,,,,
http://purl.obolibrary.org/obo/EMAP_30511,EMAP:30511,EMAP:30511,TS23 labioscrotal swelling of male,,,,
http://purl.obolibrary.org/obo/EMAP_12365,EMAP:12365,EMAP:12365,TS26 lower respiratory tract,,,,
http://purl.obolibrary.org/obo/EMAP_4877,EMAP:4877,EMAP:4877,TS21 future tarsus other mesenchyme,,,,
http://purl.obolibrary.org/obo/EMAP_27763,EMAP:27763,EMAP:27763,TS21 medial segment of s-shaped body,,,,
http://purl.obolibrary.org/obo/EMAP_12453,EMAP:12453,EMAP:12453,TS26 tail nervous system,,,,
http://purl.obolibrary.org/obo/EMAP_4965,EMAP:4965,EMAP:4965,TS21 vibrissa,,,,
http://purl.obolibrary.org/obo/EMAP_27851,EMAP:27851,EMAP:27851,TS25 lower limb of comma-shaped body,,,,
http://purl.obolibrary.org/obo/EMAP_12541,EMAP:12541,EMAP:12541,TS24 sclera,,,,
http://purl.obolibrary.org/obo/EMAP_33797,EMAP:33797,EMAP:33797,TS12 branchial arch mesenchyme,,,,
http://purl.obolibrary.org/obo/EMAP_2068,EMAP:2068,EMAP:2068,TS17 4th branchial arch mesenchyme derived from neural crest,,,,
http://purl.obolibrary.org/obo/EMAP_33885,EMAP:33885,EMAP:33885,TS18 lingual swelling mesenchyme,,,,
http://purl.obolibrary.org/obo/EMAP_2156,EMAP:2156,EMAP:2156,TS17 somite 15 sclerotome,,,,
http://purl.obolibrary.org/obo/EMAP_33973,EMAP:33973,EMAP:33973,TS26 pharyngo-tympanic tube epithelium,,,,
http://purl.obolibrary.org/obo/EMAP_2244,EMAP:2244,EMAP:2244,TS17 diencephalon floor plate,,,,
http://purl.obolibrary.org/obo/EMAP_2332,EMAP:2332,EMAP:2332,TS17 acoustic VIII ganglion,,,,
http://purl.obolibrary.org/obo/EMAP_31076,EMAP:31076,EMAP:31076,TS25 yolk sac,,,,
http://purl.obolibrary.org/obo/EMAP_2420,EMAP:2420,EMAP:2420,TS17 left auricular region cardiac muscle,,,,
http://purl.obolibrary.org/obo/EMAP_31164,EMAP:31164,EMAP:31164,TS18 sclerotome group,,,,
http://purl.obolibrary.org/obo/EMAP_13194,EMAP:13194,EMAP:13194,TS25 rest of cerebellum mantle layer,,,,
http://purl.obolibrary.org/obo/EMAP_28592,EMAP:28592,EMAP:28592,TS24 superficial cell layer of ureter,,,,
http://purl.obolibrary.org/obo/EMAP_13282,EMAP:13282,EMAP:13282,TS18 L3 vertebral pre-cartilage condensation,,,,
http://purl.obolibrary.org/obo/EMAP_5794,EMAP:5794,EMAP:5794,TS22 forelimb digit 1,,,,
http://purl.obolibrary.org/obo/EMAP_186,EMAP:186,EMAP:186,TS11 yolk sac cavity,,,,
http://purl.obolibrary.org/obo/EMAP_28680,EMAP:28680,EMAP:28680,TS22 vasculature of bladder,,,,
http://purl.obolibrary.org/obo/EMAP_13370,EMAP:13370,EMAP:13370,TS20 tail skeleton,,,,
http://purl.obolibrary.org/obo/EMAP_5882,EMAP:5882,EMAP:5882,TS22 hindlimb digit 4 dermis,,,,
http://purl.obolibrary.org/obo/EMAP_274,EMAP:274,EMAP:274,TS12 trigeminal neural crest,,,,
http://purl.obolibrary.org/obo/EMAP_5970,EMAP:5970,EMAP:5970,TS22 latissimus dorsi,,,,
http://purl.obolibrary.org/obo/EMAP_362,EMAP:362,EMAP:362,TS12 hindgut diverticulum endoderm,,,,
http://purl.obolibrary.org/obo/EMAP_450,EMAP:450,EMAP:450,TS13 future prosencephalon neural crest,,,,
http://purl.obolibrary.org/obo/EMAP_3073,EMAP:3073,EMAP:3073,TS18 common atrial chamber right part venous valve,,,,
http://purl.obolibrary.org/obo/EMAP_34890,EMAP:34890,EMAP:34890,TS21 cloaca,,,,
http://purl.obolibrary.org/obo/EMAP_3161,EMAP:3161,EMAP:3161,TS18 hindgut diverticulum postanal component associated mesenchyme,,,,
http://purl.obolibrary.org/obo/EMAP_12328,EMAP:12328,EMAP:12328,TS26 left lung hilus,,,,
http://purl.obolibrary.org/obo/EMAP_27726,EMAP:27726,EMAP:27726,TS25 nephrogenic zone,,,,
http://purl.obolibrary.org/obo/EMAP_12416,EMAP:12416,EMAP:12416,TS26 supraoccipital cartilage condensation,,,,
http://purl.obolibrary.org/obo/EMAP_4928,EMAP:4928,EMAP:4928,TS21 pancreas head parenchyma,,,,
http://purl.obolibrary.org/obo/EMAP_32081,EMAP:32081,EMAP:32081,TS22 amnion ectoderm,,,,
http://purl.obolibrary.org/obo/EMAP_12504,EMAP:12504,EMAP:12504,TS26 gluteus maximus,,,,
http://purl.obolibrary.org/obo/EMAP_27902,EMAP:27902,EMAP:27902,TS22 parietal epithelium of s-shaped body,,,,
http://purl.obolibrary.org/obo/EMAP_33848,EMAP:33848,EMAP:33848,TS24 body wall,,,,
http://purl.obolibrary.org/obo/EMAP_2119,EMAP:2119,EMAP:2119,TS17 somite 06 myocoele,,,,
http://purl.obolibrary.org/obo/EMAP_33936,EMAP:33936,EMAP:33936,TS15 pituitary gland,,,,
http://purl.obolibrary.org/obo/EMAP_2207,EMAP:2207,EMAP:2207,TS17 somite 28 myocoele,,,,
http://purl.obolibrary.org/obo/EMAP_15878,EMAP:15878,EMAP:15878,TS26 Tl18 vertebra centrum,,,,
http://purl.obolibrary.org/obo/EMAP_15966,EMAP:15966,EMAP:15966,TS26 T12 rib neck cartilage,,,,
http://purl.obolibrary.org/obo/EMAP_31127,EMAP:31127,EMAP:31127,TS16 tail myocoele group,,,,
http://purl.obolibrary.org/obo/EMAP_31215,EMAP:31215,EMAP:31215,TS24 developing vasculature of oviduct,,,,
http://purl.obolibrary.org/obo/EMAP_28379,EMAP:28379,EMAP:28379,TS21 renal artery,,,,
http://purl.obolibrary.org/obo/EMAP_5277,EMAP:5277,EMAP:5277,TS21 renal artery,,,,
http://purl.obolibrary.org/obo/EMAP_13069,EMAP:13069,EMAP:13069,TS26 carotid body,,,,
http://purl.obolibrary.org/obo/EMAP_5669,EMAP:5669,EMAP:5669,TS21 somite 47 myocoele,,,,
http://purl.obolibrary.org/obo/EMAP_13245,EMAP:13245,EMAP:13245,TS17 C2 vertebral cartilage condensation,,,,
http://purl.obolibrary.org/obo/EMAP_5757,EMAP:5757,EMAP:5757,TS22 omental bursa parietal mesothelium,,,,
http://purl.obolibrary.org/obo/EMAP_149,EMAP:149,EMAP:149,TS11 intraembryonic coelom,,,,
http://purl.obolibrary.org/obo/EMAP_5845,EMAP:5845,EMAP:5845,TS22 interdigital region between forelimb digits 4 and 5 mesenchyme,,,,
http://purl.obolibrary.org/obo/EMAP_13333,EMAP:13333,EMAP:13333,TS19 T2 rib pre-cartilage condensation,,,,
http://purl.obolibrary.org/obo/EMAP_237,EMAP:237,EMAP:237,TS12 future midbrain floor plate,,,,
http://purl.obolibrary.org/obo/EMAP_34589,EMAP:34589,EMAP:34589,TS26 jaw,,,,
