term,curie,acc,name,description,is_obsolete,replacement,replacement_acc
http://purl.obolibrary.org/obo/EMAPA_37213,EMAPA:37213,EMAPA:37213,hindlimb digital artery,,,,
http://purl.obolibrary.org/obo/EMAPA_18297,EMAPA:18297,EMAPA:18297,lower jaw molar dental papilla,,,,
http://purl.obolibrary.org/obo/EMAPA_19120,EMAPA:19120,EMAPA:19120,forelimb digit 5 metacarpal,,,,
http://purl.obolibrary.org/obo/EMAPA_35932,EMAPA:35932,EMAPA:35932,venous blood vessel,,,,
http://purl.obolibrary.org/obo/EMAPA_35719,EMAPA:35719,EMAPA:35719,putamen,,,,
http://purl.obolibrary.org/obo/EMAPA_17626,EMAPA:17626,EMAPA:17626,stomach glandular region vascular element,,,,
http://purl.obolibrary.org/obo/EMAPA_16143,EMAPA:16143,EMAPA:16143,future midbrain neural crest,,,,
http://purl.obolibrary.org/obo/EMAPA_32955,EMAPA:32955,EMAPA:32955,hindlimb interdigital region mesenchyme,,,,
http://purl.obolibrary.org/obo/EMAPA_25099,EMAPA:25099,EMAPA:25099,lower jaw alveolar canal,,,,
http://purl.obolibrary.org/obo/EMAPA_36691,EMAPA:36691,EMAPA:36691,superior anastomotic vein,,,,
http://purl.obolibrary.org/obo/EMAPA_36478,EMAPA:36478,EMAPA:36478,vibrissa outer root sheath,,,,
http://purl.obolibrary.org/obo/EMAPA_30801,EMAPA:30801,EMAPA:30801,vasculature of bulbourethral gland of male,,,,
http://purl.obolibrary.org/obo/EMAPA_37301,EMAPA:37301,EMAPA:37301,foot blood vessel,,,,
http://purl.obolibrary.org/obo/EMAPA_18385,EMAPA:18385,EMAPA:18385,stomach pyloric region lumen,,,,
http://purl.obolibrary.org/obo/EMAPA_29860,EMAPA:29860,EMAPA:29860,lamina propria of glans penis,,,,
http://purl.obolibrary.org/obo/EMAPA_35807,EMAPA:35807,EMAPA:35807,spleen smooth muscle,,,,
http://purl.obolibrary.org/obo/EMAPA_17714,EMAPA:17714,EMAPA:17714,forelimb digit 1 metacarpus pre-cartilage condensation,,,,
http://purl.obolibrary.org/obo/EMAPA_25187,EMAPA:25187,EMAPA:25187,Tl2 dorsal root ganglion,,,,
http://purl.obolibrary.org/obo/EMAPA_31560,EMAPA:31560,EMAPA:31560,muscle layer of dorsal pelvic urethra of female,The muscle layer of dorsal pelvic urethra of female (TS23-TS27). The thicker layer of smooth muscle towards the outside of the pelvic urethra. Subdivided into dorsal/ventral (to TS27).,,,
http://purl.obolibrary.org/obo/EMAPA_31347,EMAPA:31347,EMAPA:31347,renal medullary lymphatics,,,,
http://purl.obolibrary.org/obo/EMAPA_38060,EMAPA:38060,EMAPA:38060,hindlimb tendon,,,,
http://purl.obolibrary.org/obo/EMAPA_36566,EMAPA:36566,EMAPA:36566,mammary gland alveolus,,,,
http://purl.obolibrary.org/obo/EMAPA_29735,EMAPA:29735,EMAPA:29735,basal epidermal layer of scrotum,,,,
http://purl.obolibrary.org/obo/EMAPA_16979,EMAPA:16979,EMAPA:16979,midbrain ventricular layer,,,,
http://purl.obolibrary.org/obo/EMAPA_28039,EMAPA:28039,EMAPA:28039,developing capillary of renal cortex,,,,
http://purl.obolibrary.org/obo/EMAPA_17802,EMAPA:17802,EMAPA:17802,vestibulocochlear nerve cochlear component,,,,
http://purl.obolibrary.org/obo/EMAPA_16106,EMAPA:16106,EMAPA:16106,cardiogenic plate,,,,
http://purl.obolibrary.org/obo/EMAPA_32918,EMAPA:32918,EMAPA:32918,fronto-nasal process epithelium,,,,
http://purl.obolibrary.org/obo/EMAPA_25275,EMAPA:25275,EMAPA:25275,L4 ventral root,,,,
http://purl.obolibrary.org/obo/EMAPA_36654,EMAPA:36654,EMAPA:36654,ventral lateral thalamic nucleus,,,,
http://purl.obolibrary.org/obo/EMAPA_18561,EMAPA:18561,EMAPA:18561,rest of cerebellum marginal layer,,,,
http://purl.obolibrary.org/obo/EMAPA_35171,EMAPA:35171,EMAPA:35171,bile duct,,,,
http://purl.obolibrary.org/obo/EMAPA_18348,EMAPA:18348,EMAPA:18348,ischium pre-cartilage condensation,,,,
http://purl.obolibrary.org/obo/EMAPA_25363,EMAPA:25363,EMAPA:25363,otocyst lumen,,,,
http://purl.obolibrary.org/obo/EMAPA_31523,EMAPA:31523,EMAPA:31523,nerve of pelvic urethra,,,,
http://purl.obolibrary.org/obo/EMAPA_38023,EMAPA:38023,EMAPA:38023,cerebral hemisphere,,,,
http://purl.obolibrary.org/obo/EMAPA_36742,EMAPA:36742,EMAPA:36742,bell stage tooth,,,,
http://purl.obolibrary.org/obo/EMAPA_36529,EMAPA:36529,EMAPA:36529,pancreatico-duodenal artery,,,,
http://purl.obolibrary.org/obo/EMAPA_18436,EMAPA:18436,EMAPA:18436,lower leg rest of mesenchyme,,,,
http://purl.obolibrary.org/obo/EMAPA_35046,EMAPA:35046,EMAPA:35046,nerve of vagina,,,,
http://purl.obolibrary.org/obo/EMAPA_28215,EMAPA:28215,EMAPA:28215,arcuate artery,,,,
http://purl.obolibrary.org/obo/EMAPA_32282,EMAPA:32282,EMAPA:32282,epithelium of ventral pelvic urethra of female,,,,
http://purl.obolibrary.org/obo/EMAPA_25451,EMAPA:25451,EMAPA:25451,T10 neural arch pedicle,,,,
http://purl.obolibrary.org/obo/EMAPA_25238,EMAPA:25238,EMAPA:25238,S3 segmental spinal nerve,,,,
http://purl.obolibrary.org/obo/EMAPA_37288,EMAPA:37288,EMAPA:37288,limb digit 4,,,,
http://purl.obolibrary.org/obo/EMAPA_19195,EMAPA:19195,EMAPA:19195,pituitary fossa,,,,
http://purl.obolibrary.org/obo/EMAPA_36830,EMAPA:36830,EMAPA:36830,alimentary system fluid or secretion,,,,
http://purl.obolibrary.org/obo/EMAPA_36617,EMAPA:36617,EMAPA:36617,pterygoid bone,,,,
http://purl.obolibrary.org/obo/EMAPA_35134,EMAPA:35134,EMAPA:35134,aorta endothelium,,,,
http://purl.obolibrary.org/obo/EMAPA_18524,EMAPA:18524,EMAPA:18524,quadratus lumborum,,,,
http://purl.obolibrary.org/obo/EMAPA_17041,EMAPA:17041,EMAPA:17041,midgut loop vascular element,,,,
http://purl.obolibrary.org/obo/EMAPA_30876,EMAPA:30876,EMAPA:30876,mesenchymal layer of primitive bladder,"The mesenchymal layer of primitive bladder (mpbl) (syn: primitive bladder mesenchyme) (TS19-TS21) is the mesenchyme surrounding the urothelium of primitive bladder. At TS19-TS20, expresses Ptch1 and Gli1. From TS21, contains smooth muscle cells. The mesenchyme of primitive bladder (and later the bladder) is radially patterned due to differentiation of mesenchymal cells into smooth muscle cells. The layers are defined by their location, differing gene expression profiles and proliferation rates.  From TS20-TS21 it is divided into inner mesenchyme of primitive bladder (TS20-TS21) and outer mesenchyme of primitive bladder (TS20-TS21).",,,
http://purl.obolibrary.org/obo/EMAPA_25326,EMAPA:25326,EMAPA:25326,Tl16 dorsal root,,,,
http://purl.obolibrary.org/obo/EMAPA_37376,EMAPA:37376,EMAPA:37376,right hepatic artery,,,,
http://purl.obolibrary.org/obo/EMAPA_30003,EMAPA:30003,EMAPA:30003,smooth muscle layer of renal artery,,,,
http://purl.obolibrary.org/obo/EMAPA_36705,EMAPA:36705,EMAPA:36705,head surface ectoderm,,,,
http://purl.obolibrary.org/obo/EMAPA_17789,EMAPA:17789,EMAPA:17789,cerebellum marginal layer,,,,
http://purl.obolibrary.org/obo/EMAPA_35222,EMAPA:35222,EMAPA:35222,cerebellum posterior lobe,,,,
http://purl.obolibrary.org/obo/EMAPA_27568,EMAPA:27568,EMAPA:27568,central gonad primordium mesenchyme,,,,
http://purl.obolibrary.org/obo/EMAPA_25414,EMAPA:25414,EMAPA:25414,S2 vertebra centrum,,,,
http://purl.obolibrary.org/obo/EMAPA_37464,EMAPA:37464,EMAPA:37464,gomphosis,,,,
http://purl.obolibrary.org/obo/EMAPA_19371,EMAPA:19371,EMAPA:19371,T3 rib pre-cartilage condensation,,,,
http://purl.obolibrary.org/obo/EMAPA_35310,EMAPA:35310,EMAPA:35310,endometrium stroma,,,,
http://purl.obolibrary.org/obo/EMAPA_16394,EMAPA:16394,EMAPA:16394,1st branchial arch maxillary-mandibular groove,,,,
http://purl.obolibrary.org/obo/EMAPA_17004,EMAPA:17004,EMAPA:17004,4th arch artery,,,,
http://purl.obolibrary.org/obo/EMAPA_30839,EMAPA:30839,EMAPA:30839,labia skin,,true,,
http://purl.obolibrary.org/obo/EMAPA_25502,EMAPA:25502,EMAPA:25502,T5 vertebra centrum,,,,
http://purl.obolibrary.org/obo/EMAPA_37552,EMAPA:37552,EMAPA:37552,trachea basement membrane,,,,
http://purl.obolibrary.org/obo/EMAPA_37339,EMAPA:37339,EMAPA:37339,wrist nerve,,,,
http://purl.obolibrary.org/obo/EMAPA_19246,EMAPA:19246,EMAPA:19246,pancreas body islets of Langerhans,,,,
http://purl.obolibrary.org/obo/EMAPA_17965,EMAPA:17965,EMAPA:17965,germ cell of ovary,,,,
http://purl.obolibrary.org/obo/EMAPA_16482,EMAPA:16482,EMAPA:16482,rhombomere 1 lateral wall,,,,
http://purl.obolibrary.org/obo/EMAPA_38098,EMAPA:38098,EMAPA:38098,limb primordium,,,,
http://purl.obolibrary.org/obo/EMAPA_30927,EMAPA:30927,EMAPA:30927,urethral fold of female,"The urethral fold of female (TS20-TS27) is the mesenchyme adjacent to the epithelium of phallic urethra that is thought to fuse during internalization of the urethra in males, however whether or not this mesenchyme fuses is unclear. Present in both males and females from E12.5 (Suzuki et al., 2002). Part of the genital tubercle of male/female, part of the urethra of male/female and part of the phallic urethra of male/female. As the genital tubercle becomes the penis/clitoris, the urethral folds become part of the penile/clitoral urethra. Absent after internalisation of the urethra in postnatal males.  Absent from postnatal females.",,,
http://purl.obolibrary.org/obo/EMAPA_37640,EMAPA:37640,EMAPA:37640,limiting ridge of stomach,,,,
http://purl.obolibrary.org/obo/EMAPA_37427,EMAPA:37427,EMAPA:37427,aqueous drainage system,,,,
