phenotype,property,value
http://purl.obolibrary.org/obo/HP_0000118,http://www.w3.org/2000/01/rdf-schema#label,Phenotypic abnormality
http://purl.obolibrary.org/obo/HP_0001939,http://www.w3.org/2000/01/rdf-schema#label,Abnormality of metabolism/homeostasis
http://purl.obolibrary.org/obo/HP_0012337,http://www.w3.org/2000/01/rdf-schema#label,Abnormal homeostasis
http://purl.obolibrary.org/obo/HP_0012338,http://www.w3.org/2000/01/rdf-schema#label,Abnormal energy expenditure
http://purl.obolibrary.org/obo/HP_0012339,http://www.w3.org/2000/01/rdf-schema#label,Increased resting energy expenditure
http://purl.obolibrary.org/obo/HP_0012340,http://www.w3.org/2000/01/rdf-schema#label,Decreased resting energy expenditure
http://purl.obolibrary.org/obo/HP_0004370,http://www.w3.org/2000/01/rdf-schema#label,Abnormality of temperature regulation
http://purl.obolibrary.org/obo/HP_0006901,http://www.w3.org/2000/01/rdf-schema#label,Impaired thermal sensitivity
http://purl.obolibrary.org/obo/HP_0002047,http://www.w3.org/2000/01/rdf-schema#label,Malignant hyperthermia
http://purl.obolibrary.org/obo/HP_0001945,http://www.w3.org/2000/01/rdf-schema#label,Fever
http://purl.obolibrary.org/obo/HP_0030244,http://www.w3.org/2000/01/rdf-schema#label,Maternal fever in pregnancy
http://purl.obolibrary.org/obo/HP_0030245,http://www.w3.org/2000/01/rdf-schema#label,Intrapartum fever
http://purl.obolibrary.org/obo/HP_0030246,http://www.w3.org/2000/01/rdf-schema#label,Maternal first trimester fever
http://purl.obolibrary.org/obo/HP_0001954,http://www.w3.org/2000/01/rdf-schema#label,Recurrent fever
http://purl.obolibrary.org/obo/HP_0032323,http://www.w3.org/2000/01/rdf-schema#label,Periodic fever
http://purl.obolibrary.org/obo/HP_0032324,http://www.w3.org/2000/01/rdf-schema#label,Non-periodic recurrent fever
http://purl.obolibrary.org/obo/HP_0011134,http://www.w3.org/2000/01/rdf-schema#label,Low-grade fever
http://purl.obolibrary.org/obo/HP_0001955,http://www.w3.org/2000/01/rdf-schema#label,Unexplained fevers
http://purl.obolibrary.org/obo/HP_0005968,http://www.w3.org/2000/01/rdf-schema#label,Temperature instability
http://purl.obolibrary.org/obo/HP_0002045,http://www.w3.org/2000/01/rdf-schema#label,Hypothermia
http://purl.obolibrary.org/obo/HP_0005964,http://www.w3.org/2000/01/rdf-schema#label,Intermittent hypothermia
http://purl.obolibrary.org/obo/HP_0002046,http://www.w3.org/2000/01/rdf-schema#label,Heat intolerance
http://purl.obolibrary.org/obo/HP_0040127,http://www.w3.org/2000/01/rdf-schema#label,Abnormal sweat homeostasis
http://purl.obolibrary.org/obo/HP_0012236,http://www.w3.org/2000/01/rdf-schema#label,Elevated sweat chloride
http://purl.obolibrary.org/obo/HP_0040128,http://www.w3.org/2000/01/rdf-schema#label,Abnormal sweat electrolytes
http://purl.obolibrary.org/obo/HP_0011032,http://www.w3.org/2000/01/rdf-schema#label,Abnormality of fluid regulation
http://purl.obolibrary.org/obo/HP_0000969,http://www.w3.org/2000/01/rdf-schema#label,Edema
http://purl.obolibrary.org/obo/HP_0010741,http://www.w3.org/2000/01/rdf-schema#label,Pedal edema
http://purl.obolibrary.org/obo/HP_0012098,http://www.w3.org/2000/01/rdf-schema#label,Edema of the dorsum of feet
http://purl.obolibrary.org/obo/HP_0040049,http://www.w3.org/2000/01/rdf-schema#label,Macular edema
http://purl.obolibrary.org/obo/HP_0011505,http://www.w3.org/2000/01/rdf-schema#label,Cystoid macular edema
http://purl.obolibrary.org/obo/HP_0002202,http://www.w3.org/2000/01/rdf-schema#label,Pleural effusion
http://purl.obolibrary.org/obo/HP_0011921,http://www.w3.org/2000/01/rdf-schema#label,Exudative pleural effusion
http://purl.obolibrary.org/obo/HP_0011920,http://www.w3.org/2000/01/rdf-schema#label,Transudative pleural effusion
http://purl.obolibrary.org/obo/HP_0011919,http://www.w3.org/2000/01/rdf-schema#label,Pleural empyema
http://purl.obolibrary.org/obo/HP_0010310,http://www.w3.org/2000/01/rdf-schema#label,Chylothorax
http://purl.obolibrary.org/obo/HP_0007609,http://www.w3.org/2000/01/rdf-schema#label,Hypoproteinemic edema
http://purl.obolibrary.org/obo/HP_0000282,http://www.w3.org/2000/01/rdf-schema#label,Facial edema
http://purl.obolibrary.org/obo/HP_0100539,http://www.w3.org/2000/01/rdf-schema#label,Periorbital edema
http://purl.obolibrary.org/obo/HP_0100540,http://www.w3.org/2000/01/rdf-schema#label,Palpebral edema
http://purl.obolibrary.org/obo/HP_0012724,http://www.w3.org/2000/01/rdf-schema#label,Upper eyelid edema
http://purl.obolibrary.org/obo/HP_0012568,http://www.w3.org/2000/01/rdf-schema#label,Lower eyelid edema
http://purl.obolibrary.org/obo/HP_0010749,http://www.w3.org/2000/01/rdf-schema#label,Blepharochalasis
http://purl.obolibrary.org/obo/HP_0007514,http://www.w3.org/2000/01/rdf-schema#label,Edema of the dorsum of hands
http://purl.obolibrary.org/obo/HP_0031188,http://www.w3.org/2000/01/rdf-schema#label,Genital edema
http://purl.obolibrary.org/obo/HP_0012398,http://www.w3.org/2000/01/rdf-schema#label,Peripheral edema
http://purl.obolibrary.org/obo/HP_0001004,http://www.w3.org/2000/01/rdf-schema#label,Lymphedema
http://purl.obolibrary.org/obo/HP_0003550,http://www.w3.org/2000/01/rdf-schema#label,Predominantly lower limb lymphedema
http://purl.obolibrary.org/obo/HP_0004788,http://www.w3.org/2000/01/rdf-schema#label,Intestinal lymphedema
http://purl.obolibrary.org/obo/HP_0011855,http://www.w3.org/2000/01/rdf-schema#label,Pharyngeal edema
http://purl.obolibrary.org/obo/HP_0100748,http://www.w3.org/2000/01/rdf-schema#label,Muscular edema
http://purl.obolibrary.org/obo/HP_0005225,http://www.w3.org/2000/01/rdf-schema#label,Intestinal edema
http://purl.obolibrary.org/obo/HP_0002181,http://www.w3.org/2000/01/rdf-schema#label,Cerebral edema
http://purl.obolibrary.org/obo/HP_0100598,http://www.w3.org/2000/01/rdf-schema#label,Pulmonary edema
http://purl.obolibrary.org/obo/HP_0010742,http://www.w3.org/2000/01/rdf-schema#label,Edema of the upper limbs
http://purl.obolibrary.org/obo/HP_0012027,http://www.w3.org/2000/01/rdf-schema#label,Laryngeal edema
http://purl.obolibrary.org/obo/HP_0012040,http://www.w3.org/2000/01/rdf-schema#label,Corneal stromal edema
http://purl.obolibrary.org/obo/HP_0007430,http://www.w3.org/2000/01/rdf-schema#label,Generalized edema
http://purl.obolibrary.org/obo/HP_0012050,http://www.w3.org/2000/01/rdf-schema#label,Anasarca
