term,curie,acc,name,description,is_obsolete,replacement,replacement_acc
http://purl.obolibrary.org/obo/MA_0001981,MA:0001981,MA:0001981,intercostal artery,,,,
http://purl.obolibrary.org/obo/MA_0003136,MA:0003136,MA:0003136,right lung lobar bronchus epitheium,,,,
http://purl.obolibrary.org/obo/MA_0002885,MA:0002885,MA:0002885,deep cervical lymph node,,,,
http://purl.obolibrary.org/obo/MA_0001791,MA:0001791,MA:0001791,right lung lobe,,,,
http://purl.obolibrary.org/obo/MA_0002695,MA:0002695,MA:0002695,large intestine wall,,,,
http://purl.obolibrary.org/obo/MA_0000818,MA:0000818,MA:0000818,brain ventricle,,,,
http://purl.obolibrary.org/obo/MA_0000628,MA:0000628,MA:0000628,hand muscle,,,,
http://purl.obolibrary.org/obo/MA_0000438,MA:0000438,MA:0000438,main bronchus,,,,
http://purl.obolibrary.org/obo/MA_0000248,MA:0000248,MA:0000248,perilymphatic channel,,,,
http://purl.obolibrary.org/obo/MA_0000058,MA:0000058,MA:0000058,white adipose tissue,,,,
http://purl.obolibrary.org/obo/MA_0001202,MA:0001202,MA:0001202,saccule epithelium,,,,
http://purl.obolibrary.org/obo/MA_0002106,MA:0002106,MA:0002106,dorsal nasal vein,,,,
http://purl.obolibrary.org/obo/MA_0001012,MA:0001012,MA:0001012,cochlear VIII nucleus,,,,
http://purl.obolibrary.org/obo/MA_0001944,MA:0001944,MA:0001944,dorsal metacarpal artery,,,,
http://purl.obolibrary.org/obo/MA_0002848,MA:0002848,MA:0002848,tail tip,,,,
http://purl.obolibrary.org/obo/MA_0000850,MA:0000850,MA:0000850,lateral mammillary nucleus,,,,
http://purl.obolibrary.org/obo/MA_0001754,MA:0001754,MA:0001754,larynx connective tissue,,,,
http://purl.obolibrary.org/obo/MA_0002658,MA:0002658,MA:0002658,ureteral valve,,,,
http://purl.obolibrary.org/obo/MA_0000660,MA:0000660,MA:0000660,hindlimb bone,,,,
http://purl.obolibrary.org/obo/MA_0001564,MA:0001564,MA:0001564,midgut,,,,
http://purl.obolibrary.org/obo/MA_0002468,MA:0002468,MA:0002468,ear lobe,,,,
http://purl.obolibrary.org/obo/MA_0000470,MA:0000470,MA:0000470,hip joint,,,,
http://purl.obolibrary.org/obo/MA_0001374,MA:0001374,MA:0001374,patella,,,,
http://purl.obolibrary.org/obo/MA_0000280,MA:0000280,MA:0000280,sclera,,,,
