term,curie,acc,name,description,is_obsolete,replacement,replacement_acc
http://purl.obolibrary.org/obo/MPATH_875,MPATH:875,MPATH:875,cutaneous plasmacytosis,cutaneous manifestation of plasmacytosis,,,
http://purl.obolibrary.org/obo/MPATH_854,MPATH:854,MPATH:854,cutaneous plasmacytosis,Plasmacytosis in the skin.,,,
http://purl.obolibrary.org/obo/MPATH_328,MPATH:328,MPATH:328,leydig cell tumor,Tumor derived from Leydig cells (M-8650/1).,,,
http://purl.obolibrary.org/obo/MPATH_622,MPATH:622,MPATH:622,steatosis,Abnormal retention of lipids within a cell. Physically apparent as lipid within liposomes of parenchymal cells.,,,
http://purl.obolibrary.org/obo/MPATH_163,MPATH:163,MPATH:163,apocrine metaplasia,"Alteration of acinar epithelium of, for example, mammary tissue to resemble apocrine glands.",,,
http://purl.obolibrary.org/obo/MPATH_888,MPATH:888,MPATH:888,onychogryphosis,"Hypertrophy of the nail bed resulting in abnormally long, curved and thickened nails.",,,
http://purl.obolibrary.org/obo/MPATH_635,MPATH:635,MPATH:635,hydronephrosis,Swelling of the kidneys when urine flow is obstructed in any of part of the urinary tract. Severe form of pyelectasia.,,,
http://purl.obolibrary.org/obo/MPATH_350,MPATH:350,MPATH:350,mastocytoma,mastocytoma,true,,
http://purl.obolibrary.org/obo/MPATH_176,MPATH:176,MPATH:176,connective tissue replacement,Replacement of connective tissue by fibro-fatty deposits and scar tissue.,,,
http://purl.obolibrary.org/obo/MPATH_203,MPATH:203,MPATH:203,general immunodeficiency disease,general immunodeficiency disease,true,,
http://purl.obolibrary.org/obo/MPATH_470,MPATH:470,MPATH:470,left/right axis defect,Left/Right (mediolateral) axis aberration of the normal symmetrical organisation of the body pattern.,,,
http://purl.obolibrary.org/obo/MPATH_648,MPATH:648,MPATH:648,interstitial pancreatitis,,,,
http://purl.obolibrary.org/obo/MPATH_189,MPATH:189,MPATH:189,hypersensitivity disease,Immune response resulting in tissue injury.,,,
http://purl.obolibrary.org/obo/MPATH_483,MPATH:483,MPATH:483,atypical hyperplasia,"Presence of localised areas within for example adenomas showing characteristics of neoplastic (tumor) progression, eg focal carcinoma.",true,,
http://purl.obolibrary.org/obo/MPATH_230,MPATH:230,MPATH:230,sebaceous adenoma,Adenoma of sebaceous cells; regular architecture of gland not mantained. Large numbers of immature germinative cells present. Mitoses. (M-8410/0).,,,
