term,curie,acc,name,description,is_obsolete,replacement,replacement_acc
http://purl.obolibrary.org/obo/PATO_0000904,PATO:0000904,PATO:0000904,obsolete wild abortive value,,true,,
http://purl.obolibrary.org/obo/PATO_0000001,PATO:0000001,PATO:0000001,quality,A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities,,,
http://purl.obolibrary.org/obo/PATO_0001808,PATO:0001808,PATO:0001808,increased sensitivity to irradiation,A sensitivity to irradiation which is relatively high.,,,
http://purl.obolibrary.org/obo/PATO_0000714,PATO:0000714,PATO:0000714,obsolete latency value,,true,,
http://purl.obolibrary.org/obo/PATO_0001618,PATO:0001618,PATO:0001618,increased tonicity,A tonicity which is relatively high.,,,
http://purl.obolibrary.org/obo/PATO_0000524,PATO:0000524,PATO:0000524,obsolete plant growth hormone sensitivity value,,true,,
http://purl.obolibrary.org/obo/PATO_0001428,PATO:0001428,PATO:0001428,medium acidity,A concentration quality inhering in a medium by virtue of the bearer's tendency to hydronate a specific reference base.,,,
http://purl.obolibrary.org/obo/PATO_0000144,PATO:0000144,PATO:0000144,obsolete solid substance,,true,,
http://purl.obolibrary.org/obo/PATO_0001048,PATO:0001048,PATO:0001048,obsolete relative resistance,,true,,
http://purl.obolibrary.org/obo/PATO_0002002,PATO:0002002,PATO:0002002,has extra parts of type,"The bearer of this quality has_part > n of the indicated entity type, where n is the normal amount for a comparable organism. Note that the bearer of the quality is the whole, not the part.",,,
http://purl.obolibrary.org/obo/PATO_0000886,PATO:0000886,PATO:0000886,obsolete absolute litter size value,,true,,
http://purl.obolibrary.org/obo/PATO_0000696,PATO:0000696,PATO:0000696,obsolete texture value,,true,,
http://purl.obolibrary.org/obo/PATO_0001650,PATO:0001650,PATO:0001650,increased resistance to,A resistance to a stimulus which is relatively high.,,,
http://purl.obolibrary.org/obo/PATO_0001460,PATO:0001460,PATO:0001460,anaerobic (for occurrence),A sensitivity of a process inhering in a biological process by virtue of the process unfolding in a location without oxygen.,,,
http://purl.obolibrary.org/obo/PATO_0002364,PATO:0002364,PATO:0002364,shortened,A quality inhering in a bearer by virtue of the bearer's length being notably lower than its width.,,,
http://purl.obolibrary.org/obo/PATO_0001270,PATO:0001270,PATO:0001270,desaturated cyan,A color consisting of cyan colour and low saturation.,,,
http://purl.obolibrary.org/obo/PATO_0002174,PATO:0002174,PATO:0002174,misaligned away from,An alignment quality inhering in a bearer by virtue of the bearer's being in a improper spatial positioning away from an additional entity.,,,
http://purl.obolibrary.org/obo/PATO_0001080,PATO:0001080,PATO:0001080,obsolete relative work,,true,,
http://purl.obolibrary.org/obo/PATO_0000107,PATO:0000107,PATO:0000107,obsolete alkali sensitivity,,true,,
http://purl.obolibrary.org/obo/PATO_0000849,PATO:0000849,PATO:0000849,obsolete absolute auditory ability,,true,,
http://purl.obolibrary.org/obo/PATO_0000659,PATO:0000659,PATO:0000659,obsolete temparature_quantity,,true,,
