term,curie,acc,name,description,is_obsolete,replacement,replacement_acc
http://purl.obolibrary.org/obo/UBERON_0017671,UBERON:0017671,UBERON:0017671,bony part of vertebral arch of first sacral vertebra,A bony part of vertebral arch that is part of a sacral vertebra 1.,,,
http://purl.obolibrary.org/obo/UBERON_0007176,UBERON:0007176,UBERON:0007176,superior angle of scapula,"An angle of the scapula formed by the junction of the superior and vertebral borders. It is thin, smooth, rounded, inclined somewhat lateralward, and gives attachment to a few fibers of the Levator scapulae[WP,unvetted]",,,
http://purl.obolibrary.org/obo/UBERON_0004391,UBERON:0004391,UBERON:0004391,epiphysis of first metacarpal bone,An epiphysis that is part of a metacarpal bone of digit 1 [Automatically generated definition].,,,
http://purl.obolibrary.org/obo/UBERON_6005805,UBERON:6005805,UBERON:6005805,Bolwig organ,Visual organ of the larva. It consists of a dense cluster of 12 ciliated photoreceptor neurons.,,,
http://purl.obolibrary.org/obo/UBERON_0008836,UBERON:0008836,UBERON:0008836,liver bud,,,,
http://purl.obolibrary.org/obo/UBERON_0005875,UBERON:0005875,UBERON:0005875,4th arch pharyngeal cleft,A groove that is situated between the 4th and 5th pharyngeal arch.,,,
http://purl.obolibrary.org/obo/UBERON_4000142,UBERON:4000142,UBERON:4000142,obsolete metaplastic ossification,Direct ossification in which transformation of the pre-existing tissue occurs without dedifferentiation of cells or reinitiation of cell division; direct transformation of a non-bone tissue into a bone tissue.,true,GO:0036074,GO:0036074
http://purl.obolibrary.org/obo/UBERON_2007012,UBERON:2007012,UBERON:2007012,lateral forebrain bundle,,,,
http://purl.obolibrary.org/obo/UBERON_0005699,UBERON:0005699,UBERON:0005699,pedal digit 5 mesenchyme,Mesenchyme that is part of a developing pedal digit 5.,,,
http://purl.obolibrary.org/obo/UBERON_0035109,UBERON:0035109,UBERON:0035109,plantar nerve,A nerve that innervates the sole of the foot. Planar nerves arise from the posterior branch of the tibial nerve.,,,
http://purl.obolibrary.org/obo/UBERON_0007227,UBERON:0007227,UBERON:0007227,superior vestibular nucleus,The superior vestibular nucleus is the dorso-lateral part of the vestibular nucleus and receives collaterals and terminals from the ascending branches of the vestibular nerve. Its axons terminate in much the same manner as do those from the lateral nucleus.,,,
http://purl.obolibrary.org/obo/UBERON_4100010,UBERON:4100010,UBERON:4100010,post-glenoid process,Distinct notch ventral to the glenoid. [NI],,,
http://purl.obolibrary.org/obo/UBERON_0004442,UBERON:0004442,UBERON:0004442,proximal epiphysis of proximal phalanx of manual digit 4,A proximal epiphysis that is part of a proximal phalanx of manual digit 4 [Automatically generated definition].,,,
http://purl.obolibrary.org/obo/UBERON_0014761,UBERON:0014761,UBERON:0014761,spinal trigeminal tract,"Brainstem tract formed by the central processes of first-order, trigeminal ganglion neurons that extends from the caudal medulla to the midpons. This tract conveys nociceptive and thermal information from the face to second-order neurons in the spinal nucleus of the trigeminal complex.",,,
http://purl.obolibrary.org/obo/UBERON_0004266,UBERON:0004266,UBERON:0004266,upper leg connective tissue,A portion of connective tissue that is part of a hindlimb stylopod [Automatically generated definition].,,,
http://purl.obolibrary.org/obo/UBERON_0001481,UBERON:0001481,UBERON:0001481,distal carpal bone,A distal carpal endochondral element that is composed primarily of a bone tissue.,,,
http://purl.obolibrary.org/obo/UBERON_6001059,UBERON:6001059,UBERON:6001059,visual primordium,,,,
http://purl.obolibrary.org/obo/UBERON_0002965,UBERON:0002965,UBERON:0002965,rostral intralaminar nuclear group,,,,
http://purl.obolibrary.org/obo/UBERON_4300252,UBERON:4300252,UBERON:4300252,ethmo-palatine cartilage,"The ethmo-palatine cartilage (EPC) is a distinct body situated between the posterior surface of the upper arm of the premaxilla and the anterior margin of the palatine. There is usually only a single cartilage mass lying between these bones, although that cartilage is apparently subdivided into two units in some taxa (e.g., the Old World characiform family Citharinidae, Vari, 1979:294). Vari 1989a.",,,
http://purl.obolibrary.org/obo/UBERON_0013152,UBERON:0013152,UBERON:0013152,interventricular foramen of heart,"A temporary opening between the developing ventricles of the heart. The ventricles arise as a single cavity is divided by the developing interventricular septum. Before the septum closes completely, the remaining opening between the two ventricles is termed the interventricular foramen.",,,
http://purl.obolibrary.org/obo/UBERON_0002789,UBERON:0002789,UBERON:0002789,obsolete regional part of posterior hypothalamic region,A regional part of brain that is part of a posterior hypothalamic region [Automatically generated definition].,true,,
http://purl.obolibrary.org/obo/UBERON_0004317,UBERON:0004317,UBERON:0004317,distal phalanx of pedal digit 3,A distal phalanx that is part of a foot digit 3 [Automatically generated definition].,,,
http://purl.obolibrary.org/obo/UBERON_0001532,UBERON:0001532,UBERON:0001532,internal carotid artery,A terminal branch of the left or right common carotid artery which supplies oxygenated blood to the brain and eyes[MP],,,
http://purl.obolibrary.org/obo/UBERON_0010191,UBERON:0010191,UBERON:0010191,aortic system,,,,
http://purl.obolibrary.org/obo/UBERON_0014636,UBERON:0014636,UBERON:0014636,thoracic spinal cord gray matter,A gray matter of spinal cord that is part of a thoracic spinal cord.,,,
http://purl.obolibrary.org/obo/UBERON_0001356,UBERON:0001356,UBERON:0001356,medial circumflex femoral artery,"The medial circumflex femoral artery (internal circumflex artery, medial femoral circumflex artery) is an artery in the upper thigh that helps supply blood to the neck of the femur. [WP,unvetted].",,,
http://purl.obolibrary.org/obo/UBERON_0011675,UBERON:0011675,UBERON:0011675,perichordal ring,Enlarged section of perichordal tube that is arranged serially but out of phase with segmental musculature.,,,
http://purl.obolibrary.org/obo/UBERON_2000390,UBERON:2000390,UBERON:2000390,medial preglomerular nucleus,,,,
http://purl.obolibrary.org/obo/UBERON_0013203,UBERON:0013203,UBERON:0013203,hypogastrium,"The hypogastrium (or hypogastric region, or pubic region) is an area of the human abdomen located below the navel.",,,
http://purl.obolibrary.org/obo/UBERON_0014918,UBERON:0014918,UBERON:0014918,retrosplenial granular cortex,,,,
http://purl.obolibrary.org/obo/UBERON_0008920,UBERON:0008920,UBERON:0008920,obsolete mesenchyme from splanchnopleure,,true,UBERON:0010378,UBERON:0010378
http://purl.obolibrary.org/obo/UBERON_4300127,UBERON:4300127,UBERON:4300127,nuchal crest,Bony protuberance on the external surface of the occipital bone.[PHENOSCAPE:AD],,,
http://purl.obolibrary.org/obo/UBERON_0010242,UBERON:0010242,UBERON:0010242,anterior buccal gland,"the racemose, mucous or serous glands in the submucous tissue of the cheeks",,,
http://purl.obolibrary.org/obo/UBERON_2001874,UBERON:2001874,UBERON:2001874,basibranchial 2 cartilage,"Pharyngeal arch cartilage that is ventral, median, and associated with branchial arch 2 (pharyngeal arch 4).",,,
http://purl.obolibrary.org/obo/UBERON_0001407,UBERON:0001407,UBERON:0001407,semispinalis thoracis,"The Semispinalis dorsi (or semispinalis thoracis) consists of thin, narrow, fleshy fasciculi, interposed between tendons of considerable length. It arises by a series of small tendons from the transverse processes of the sixth to the tenth thoracic vertebræ, and is inserted, by tendons, into the spinous processes of the upper four thoracic and lower two cervical vertebrae. [WP,unvetted].",,,
http://purl.obolibrary.org/obo/UBERON_0010066,UBERON:0010066,UBERON:0010066,tympanic plate,The tympanic part of the temporal bone is a curved plate of bone lying below the squama and in front of the mastoid process.,,,
http://purl.obolibrary.org/obo/UBERON_3011048,UBERON:3011048,UBERON:3011048,genital system,,,,
http://purl.obolibrary.org/obo/UBERON_2001698,UBERON:2001698,UBERON:2001698,anal-fin stay,Endochondral bone located posterior to the last anal fin pterygiophore. The anal fin stay is a median bone.,,,
http://purl.obolibrary.org/obo/UBERON_0035875,UBERON:0035875,UBERON:0035875,primary somatosensory area barrel field layer 6b,,,,
http://purl.obolibrary.org/obo/UBERON_0007993,UBERON:0007993,UBERON:0007993,ulnar sesamoid bone,,,,
http://purl.obolibrary.org/obo/UBERON_2000265,UBERON:2000265,UBERON:2000265,obsolete presumptive dorsal mesoderm,Portion of presumptive mesoderm fated to become dorsal mesoderm.,true,,
http://purl.obolibrary.org/obo/UBERON_2001925,UBERON:2001925,UBERON:2001925,spiracular canal,Foramen for passage of nerve supplying otic lateral line.,,,
http://purl.obolibrary.org/obo/UBERON_2000089,UBERON:2000089,UBERON:2000089,actinotrichium,"Elastoidin fin ray that is slender, sometimes branched distally and present in the embryonic fin fold. Actinotrichia are translucent and exhibit birefringence. ",,,
http://purl.obolibrary.org/obo/UBERON_0003360,UBERON:0003360,UBERON:0003360,epithelium of parotid gland,An epithelium that is part of a parotid gland [Automatically generated definition].,,,
http://purl.obolibrary.org/obo/UBERON_2001749,UBERON:2001749,UBERON:2001749,dentary-anguloarticular joint,Joint that articulates the dentary and anguloarticular. Dentary-anguloarticular joint is paired.,,,
http://purl.obolibrary.org/obo/UBERON_0006460,UBERON:0006460,UBERON:0006460,first sacral spinal cord segment,,,,
http://purl.obolibrary.org/obo/UBERON_0035926,UBERON:0035926,UBERON:0035926,preculminate fissure of cerebellum,,,,
http://purl.obolibrary.org/obo/UBERON_0018231,UBERON:0018231,UBERON:0018231,labyrinthine artery,"A long slender branch of the anterior inferior cerebellar artery (85%-100% cases) or basilar artery (<15% cases), arises from near the middle of the artery; it accompanies the vestibulocochlear nerve through the internal acoustic meatus, and is distributed to the internal ear.",,,
http://purl.obolibrary.org/obo/UBERON_0006611,UBERON:0006611,UBERON:0006611,exoskeleton,"Exoskeleton or shell, including those of mollusks, turtles, insects and crustaceans.",,,
http://purl.obolibrary.org/obo/UBERON_0006612,UBERON:0006612,UBERON:0006612,shell,A rigid covering that envelops an object.,,,
http://purl.obolibrary.org/obo/UBERON_0016930,UBERON:0016930,UBERON:0016930,ridge of tooth,A linear flat evelation on a tooth.,,,
http://purl.obolibrary.org/obo/UBERON_0006435,UBERON:0006435,UBERON:0006435,os penis,the unique bone located in the glans penis of most mammals except humans; it is used for copulation and varies in size and shape by species,,,
http://purl.obolibrary.org/obo/UBERON_0003650,UBERON:0003650,UBERON:0003650,metatarsal bone of digit 1,A metatarsal bone that distally_connected_to a proximal phalanx of pedal digit 1.,,,
http://purl.obolibrary.org/obo/UBERON_0015094,UBERON:0015094,UBERON:0015094,distal carpal bone 4 cartilage,A distal carpal bone 4 endochondral element that is composed primarily of cartilage tissue.,,,
http://purl.obolibrary.org/obo/UBERON_0006259,UBERON:0006259,UBERON:0006259,lens pit,A pitlike depression in the ectoderm of the lens placode where the primordial lens is developing[TFD].,,,
http://purl.obolibrary.org/obo/UBERON_0003474,UBERON:0003474,UBERON:0003474,meningeal artery,One of the arteries supplying a meninix[Automatically generated definition].,,,
http://purl.obolibrary.org/obo/UBERON_0005002,UBERON:0005002,UBERON:0005002,mucosa of right hepatic duct,A mucosa that is part of a right hepatic duct [Automatically generated definition].,,,
http://purl.obolibrary.org/obo/UBERON_0016578,UBERON:0016578,UBERON:0016578,lamina VII of gray matter of spinal cord,,,,
http://purl.obolibrary.org/obo/UBERON_0002041,UBERON:0002041,UBERON:0002041,terminal bronchus,,,,
http://purl.obolibrary.org/obo/UBERON_0003701,UBERON:0003701,UBERON:0003701,calcaneal tendon,"The Achilles tendon is a tendon of the posterior leg. It serves to attach the plantaris, gastrocnemius (calf) and soleus muscles to the calcaneus (heel) bone.",,,
http://purl.obolibrary.org/obo/UBERON_0028425,UBERON:0028425,UBERON:0028425,"Ongur, Price, and Ferry (2003) area G",,,,
http://purl.obolibrary.org/obo/UBERON_0015145,UBERON:0015145,UBERON:0015145,pes hair,A strand of hair that is part of a pes.,,,
http://purl.obolibrary.org/obo/UBERON_0012360,UBERON:0012360,UBERON:0012360,bone of jaw,A bone element that is part of a jaw region.,,,
http://purl.obolibrary.org/obo/UBERON_0001997,UBERON:0001997,UBERON:0001997,olfactory epithelium,A sensory epithelium inside the nasal cavity that is responsible for detecting odors[WP].,,,
http://purl.obolibrary.org/obo/UBERON_0011859,UBERON:0011859,UBERON:0011859,internal acoustic meatus,"The internal auditory meatus (also internal acoustic meatus, internal auditory canal, and internal acoustic canal) is a canal in the petrous bone of the temporal bone of the skull that carries nerves from inside the cranium towards the middle and inner ear compartments namely cranial nerve VII and cranial nerve VIII.",,,
http://purl.obolibrary.org/obo/UBERON_0012184,UBERON:0012184,UBERON:0012184,obsolete tunica vasculosa plexus,.,true,,
http://purl.obolibrary.org/obo/UBERON_0016629,UBERON:0016629,UBERON:0016629,branch of Y-shaped fibrocartilage skeleton of ventral pouch,,,,
http://purl.obolibrary.org/obo/UBERON_0036168,UBERON:0036168,UBERON:0036168,Haller's layer,,,,
http://purl.obolibrary.org/obo/UBERON_2005344,UBERON:2005344,UBERON:2005344,preopticohypothalamic tract,,,,
http://purl.obolibrary.org/obo/UBERON_0014616,UBERON:0014616,UBERON:0014616,dorsal nerve root of thoracic spinal cord,,,,
http://purl.obolibrary.org/obo/UBERON_0010883,UBERON:0010883,UBERON:0010883,forelimb cartilage element,A cartilaginous condensation that has the potential to develop into a forelimb bone.,,,
http://purl.obolibrary.org/obo/UBERON_0000388,UBERON:0000388,UBERON:0000388,epiglottis,"A part of the pharynx that consists of a flap of elastic cartilage tissue plus a mucous membrane covering, attached to the entrance of the larynx. The epiglottis is found at the root of the tongue and folds back over the entrance to the larynx during swallowing, preventing inhalation of food or drink[MP,modified]",,,
http://purl.obolibrary.org/obo/UBERON_3000113,UBERON:3000113,UBERON:3000113,crista intermedia,"Paired, oblique plates of cartilage located ventral to the alary cartilages. The dorsomedial margin of each crista intermedia is fused to the transitional zone between the septum nasi and the tectum nasi, whereas the ventrolateral margin bears two laminae, the lamina superior and the lamina inferior.",,,
http://purl.obolibrary.org/obo/UBERON_0022730,UBERON:0022730,UBERON:0022730,transverse frontopolar gyri complex,,,,
http://purl.obolibrary.org/obo/UBERON_3010432,UBERON:3010432,UBERON:3010432,archenteron roof,,,,
http://purl.obolibrary.org/obo/UBERON_0014277,UBERON:0014277,UBERON:0014277,piriform cortex layer 1,"Most superficial of 3 cytoarchitecturally defined layers of the piriform cortex, characterized by few neuronal cell bodies. It has been divided into a superficial part and a deep part.",,,
http://purl.obolibrary.org/obo/UBERON_0009077,UBERON:0009077,UBERON:0009077,membrana tympaniformis medialis,,,,
http://purl.obolibrary.org/obo/UBERON_0012059,UBERON:0012059,UBERON:0012059,right lung lower lobe bronchiole,A bronchiole that is part of a lower lobe of right lung.,,,
http://purl.obolibrary.org/obo/UBERON_3010256,UBERON:3010256,UBERON:3010256,obsolete spermatocyte,,true,CL:0000017,CL:0000017
http://purl.obolibrary.org/obo/UBERON_2005219,UBERON:2005219,UBERON:2005219,choroid plexus vascular circuit,Cranial vasculature where the posterior cerebral veins and the trans-choroid plexus branch form a circuit around the 4th ventricle choroid plexus.,,,
http://purl.obolibrary.org/obo/UBERON_0013719,UBERON:0013719,UBERON:0013719,dartos muscle of scrotum,A dartos muscle that is part of a male reproductive system.,,,
http://purl.obolibrary.org/obo/UBERON_0000439,UBERON:0000439,UBERON:0000439,arachnoid trabecula,"The arachnoid trabeculae are delicate strands of connective tissue that loosely connect the two innermost layers of the meninges -- the arachnoid mater and the pia mater. They are found within the subarachnoid space where cerebrospinal fluid is also found. Embryologically, the trabeculae are the remnants of the common precursor that forms both the arachnoid and pial layers of the meninges.",,,
http://purl.obolibrary.org/obo/UBERON_2002258,UBERON:2002258,UBERON:2002258,trituration tooth,,,,
http://purl.obolibrary.org/obo/UBERON_0010758,UBERON:0010758,UBERON:0010758,subdivision of organism along appendicular axis,"A major subdivision of an organism that divides an organism along an axis perpedicular to the main body anterior-posterior axis. In vertebrates, this is typically a fin or limb segment. In insects, this includes segments of appendages such as antennae, as well as segments of the insect leg.",,,
http://purl.obolibrary.org/obo/UBERON_2001001,UBERON:2001001,UBERON:2001001,epaxial region somite 13,"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995.",,,
http://purl.obolibrary.org/obo/UBERON_0009128,UBERON:0009128,UBERON:0009128,lateral line placode,An ectodermal placode that will develop into the components of the lateral line system,,,
http://purl.obolibrary.org/obo/UBERON_3010307,UBERON:3010307,UBERON:3010307,obsolete polar body,,true,CL:0002090,CL:0002090
http://purl.obolibrary.org/obo/UBERON_2000957,UBERON:2000957,UBERON:2000957,hypaxial region somite 19,"Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.",,,
http://purl.obolibrary.org/obo/UBERON_0036259,UBERON:0036259,UBERON:0036259,cardial lymph propulsor,"A lymphatic propulsor that lies tightly against the truncus arteriosus, the major outflow tract of the amphibian heart.",,,
http://purl.obolibrary.org/obo/UBERON_0022429,UBERON:0022429,UBERON:0022429,temporal cortex cingulum,,,,
http://purl.obolibrary.org/obo/UBERON_0007120,UBERON:0007120,UBERON:0007120,premolar tooth,The premolar teeth or bicuspids are transitional teeth located between the canine and molar teeth.,,,
http://purl.obolibrary.org/obo/UBERON_0017270,UBERON:0017270,UBERON:0017270,secondary premolar tooth,,,,
http://purl.obolibrary.org/obo/UBERON_0034958,UBERON:0034958,UBERON:0034958,retroperitoneal embryonic lymph sac,An embryonic lymph sac that forms in the root of the mesentery on the posterior abdominal wall,,,
http://purl.obolibrary.org/obo/UBERON_0001043,UBERON:0001043,UBERON:0001043,esophagus,"Tube that connects the pharynx to the stomach. In mammals, the oesophagus connects the buccal cavity with the stomach. The stratified squamous non-keratinised epithelium lining the buccal cavity is continued through the pharynx down into the oesophagus. The lowest part of the oesophagus (ca. 2 cm) is lined with gastric mucosa and covered by peritoneum. The main body of the oesophagus is lined with small, simple mucous glands. Each gland opens into the lumen by a long duct which pierces the muscularis mucosae (Wilson and Washington, 1989). A sphincter is situated at the point where the oesophagus enters the stomach to prevent gastro-oesophageal reflux, i.e. to prevent acidic gastric contents from reaching stratified epithelia of the oesophagus, where they can cause inflammation and irritation (Wilson and Washington, 1989; Brown et al., 1993).",,,
http://purl.obolibrary.org/obo/UBERON_0008604,UBERON:0008604,UBERON:0008604,helicis minor,"The Helicis minor is an oblique fasciculus, covering the crus helicis.",,,
http://purl.obolibrary.org/obo/UBERON_0008428,UBERON:0008428,UBERON:0008428,ceratoglossus,"main, posterior part of hyoglossus muscle (vs. chondroglossus) arising from the greater horn of the hyoid bone.",,,
http://purl.obolibrary.org/obo/UBERON_0005643,UBERON:0005643,UBERON:0005643,foregut duodenum epithelium,An epithelium that is part of a duodenum of foregut.,,,
http://purl.obolibrary.org/obo/UBERON_0005467,UBERON:0005467,UBERON:0005467,platysma,"The platysma is a pharyngeal arch 2 muscle and a superficial facial muscle that participates in oral/pharyngeal behaviors and is innervated by the cervical branch of the facial nerve. It attaches to the mandible and it attaches to the skin of the head, neck, and thoracic region where it is found superficial to the clavicle. Burrows et al. (2011) argue that in hylobatids (and, presumably, other primates) the platysma in the region of the modiolus represents both the cervicale and myoides muscles.",,,
http://purl.obolibrary.org/obo/UBERON_0002682,UBERON:0002682,UBERON:0002682,abducens nucleus,"Nucleus located beneath the floor of the 4th ventricle in the pontine tegmentum, containing motor neurons innervating the lateral rectus muscle of the eye (Brodal, Neurological Anatomy, 3rd ed., 1981, pg 533)",,,
http://purl.obolibrary.org/obo/UBERON_0015786,UBERON:0015786,UBERON:0015786,respiratory segment of nasal mucosa,The portion of the nasal mucosa that is part of the respiratory system.,,,
http://purl.obolibrary.org/obo/UBERON_0004034,UBERON:0004034,UBERON:0004034,cutaneous microfibril,The fiber-like strand of fibrillin that forms the scaffold of the cutaneous elastic fibers found in the extracellular matrix of the skin,,,
http://purl.obolibrary.org/obo/UBERON_0002840,UBERON:0002840,UBERON:0002840,third cervical dorsal root ganglion,,,,
http://purl.obolibrary.org/obo/UBERON_0001073,UBERON:0001073,UBERON:0001073,ileocecal junction,"A point along the course of the gastrointestinal tract where the small intestine (ileum) ends as it opens into the cecal portion of the large intestine; occurs usually within the iliac fossa, demarcated internally as the ileocecal orifice",,,
